RERUN_SET,TIME,IR,EVSW,N2O,CO2RELEASED,RAIN
1,1.0,0.0,5.3753,0.0239828,2.3561,2.1
1,2.0,0.0,8.518,0.025982,2.7962,1.0
1,3.0,0.0,7.027,0.0131038,5.9192,2.5
1,4.0,0.0,2.6,0.00628981,7.319,0.9
1,5.0,0.0,1.5888,0.00353913,8.1274,0.0
1,6.0,0.0,1.3208,0.000949293,8.659,0.0
1,7.0,0.0,1.634,0.000683708,8.7133,0.6
1,8.0,30.0,10.095,0.000395319,8.4026,0.0
1,9.0,30.0,14.484,0.0100285,8.1934,0.0
1,10.0,30.0,13.632,0.0336384,3.0185,0.0
1,11.0,30.0,13.555,0.0291902,2.9276,0.0
1,12.0,0.0,11.748,0.0280253,2.9495,0.0
1,13.0,30.0,14.918,0.0273143,3.0472,0.0
1,14.0,0.0,14.152,0.0261691,3.0048,0.0
1,15.0,30.0,12.931,0.0249719,2.9694,0.0
1,16.0,0.0,9.847,0.0241862,3.0351,0.0
1,17.0,30.0,8.8866,0.0237781,3.1904,0.0
1,18.0,0.0,7.6406,0.0233922,3.3265,0.0
1,19.0,30.0,7.547,0.0227424,3.3964,0.0
1,20.0,0.0,7.7013,0.0224215,3.5701,0.0
1,21.0,0.0,7.3795,0.0219043,3.6522,0.0
1,22.0,30.0,6.8833,0.0209722,3.6443,0.0
1,23.0,0.0,6.1211,0.0201872,3.6297,0.5
1,24.0,0.0,7.1393,0.0191552,3.5516,6.6
1,25.0,30.0,7.0495,0.0184401,3.5644,0.0
1,26.0,0.0,7.0258,0.0178303,3.6115,0.0
1,27.0,0.0,7.7767,0.0174056,3.6954,0.0
1,28.0,30.0,6.7723,0.0168201,3.6997,0.0
1,29.0,0.0,6.8736,0.0162593,3.7156,0.0
1,30.0,30.0,5.6726,0.015679,3.7165,0.0
1,31.0,0.0,6.4097,0.015043,3.6958,0.0
1,32.0,0.0,6.843,0.0145454,3.741,0.0
1,33.0,30.0,6.606,0.0140287,3.7511,0.0
1,34.0,30.0,4.4166,0.0133514,3.6894,0.1
1,35.0,0.0,4.2133,0.0126706,3.6351,0.8
1,36.0,0.0,3.9916,0.0119631,3.5797,2.9
1,37.0,30.0,4.4714,0.011289,3.5778,0.1
1,38.0,0.0,3.5407,0.0105105,3.515,0.0
1,39.0,30.0,2.7703,0.00968388,3.5064,0.0
1,40.0,30.0,2.2967,0.00880495,3.5425,0.0
1,41.0,0.0,1.8222,0.00810123,3.5358,1.7
1,42.0,30.0,1.1946,0.00748542,3.4748,17.1
1,43.0,0.0,0.71323,0.00676881,3.3676,2.5
1,44.0,0.0,0.99521,0.00617935,3.2859,0.5
1,45.0,0.0,1.0204,0.00358809,3.3924,0.2
1,46.0,30.0,0.74502,0.00237887,3.5023,2.2
1,47.0,0.0,0.54062,0.00203795,3.5224,2.5
1,48.0,0.0,0.37476,0.00167443,3.5209,24.3
1,49.0,0.0,0.32841,0.00103291,3.5716,1.9
1,50.0,0.0,0.43497,0.0010245,3.5796,0.0
1,51.0,30.0,0.34565,0.00100896,3.5579,6.4
1,52.0,0.0,0.38536,0.000991852,3.5546,0.0
1,53.0,30.0,0.1995,0.000975435,3.5556,0.0
1,54.0,0.0,0.17486,0.000958938,3.5491,1.9
1,55.0,30.0,0.19704,0.000943517,3.634,0.5
1,56.0,0.0,0.16362,0.00093142,3.6923,0.6
1,57.0,30.0,0.14241,0.000919798,3.6432,0.0
1,58.0,0.0,0.12848,0.000905016,3.6448,2.0
1,59.0,30.0,0.14444,0.000890702,3.5962,0.5
1,60.0,0.0,0.20429,0.000874114,3.4967,2.2
1,61.0,30.0,0.25951,0.00085636,3.538,0.1
1,62.0,0.0,0.2128,0.000842094,3.5701,11.0
1,63.0,30.0,0.13296,0.000829213,3.5685,24.4
1,64.0,0.0,0.0666493,0.000815584,3.498,4.8
1,65.0,0.0,0.11689,0.000800758,3.5441,22.4
1,66.0,0.0,0.11569,0.00078886,3.5732,22.6
1,67.0,0.0,0.1159,0.000777085,3.492,20.1
1,68.0,0.0,0.1283,0.000762689,3.4002,13.7
1,69.0,0.0,0.16832,0.00074739,3.3846,1.3
1,70.0,0.0,0.15626,0.000733963,3.4026,2.3
1,71.0,0.0,0.14921,0.00072234,3.4743,0.7
1,72.0,0.0,0.15519,0.000713772,3.5763,11.8
1,73.0,0.0,0.14312,0.000707036,3.5989,10.4
1,74.0,0.0,0.15794,0.000698817,3.4472,7.9
1,75.0,0.0,0.16866,0.000686425,3.4567,1.6
1,76.0,0.0,0.17551,0.000676816,3.5858,14.7
1,77.0,0.0,0.15379,0.000670535,3.6396,26.4
1,78.0,0.0,0.17722,0.000664051,3.5907,3.4
1,79.0,0.0,0.23023,0.000655576,3.5706,3.5
1,80.0,0.0,0.20758,0.000647054,3.5795,5.5
1,81.0,0.0,0.23713,0.000639068,3.6036,2.9
1,82.0,30.0,0.26566,0.000632153,3.6943,3.4
1,83.0,0.0,0.25626,0.000627204,3.7919,12.7
1,84.0,0.0,0.2892,0.000623686,3.8682,2.6
1,85.0,30.0,0.2787,0.000620208,3.8332,0.9
1,86.0,0.0,0.35263,0.000614256,3.8006,0.0
1,87.0,0.0,0.32409,0.000607637,3.8134,3.7
1,88.0,0.0,0.34067,0.000601411,3.8216,1.9
1,89.0,0.0,0.42261,0.000595338,3.8388,5.6
1,90.0,0.0,0.36699,0.000589426,6.8899,25.8
1,91.0,0.0,0.47019,0.000590256,3.7454,9.5
1,92.0,0.0,0.38321,0.000584701,3.6896,27.2
1,93.0,0.0,0.47112,0.000576243,3.7439,9.7
1,94.0,0.0,0.52745,0.000569793,3.7342,7.8
1,95.0,0.0,0.5398,0.000563345,3.7699,13.8
1,96.0,0.0,0.43735,0.000557692,3.7208,7.5
1,97.0,0.0,0.60155,0.000550792,3.6765,16.3
1,98.0,0.0,0.81775,0.000543701,3.6713,6.8
1,99.0,0.0,1.001,0.000537251,3.6933,9.7
1,100.0,0.0,0.90113,0.000531768,3.716,19.7
1,101.0,0.0,0.79616,0.000528152,3.8353,13.9
1,102.0,0.0,0.77266,0.000525719,3.8612,14.6
1,103.0,0.0,0.78278,0.000522617,3.8508,19.2
1,104.0,0.0,0.91838,0.000518972,3.9073,9.6
1,105.0,0.0,1.0497,0.000516108,3.9147,6.4
2,1.0,0.0,5.3753,0.0239828,2.3561,2.1
2,2.0,0.0,8.518,0.025982,2.7962,1.0
2,3.0,0.0,7.027,0.0131038,5.9192,2.5
2,4.0,0.0,2.6,0.00628981,7.319,0.9
2,5.0,0.0,1.5888,0.00353913,8.1274,0.0
2,6.0,0.0,1.3208,0.000949293,8.659,0.0
2,7.0,0.0,1.634,0.000683708,8.7133,0.6
2,8.0,30.0,10.095,0.000395319,8.4026,0.0
2,9.0,30.0,14.484,0.0100285,8.1934,0.0
2,10.0,30.0,13.632,0.0336384,3.0185,0.0
2,11.0,30.0,13.555,0.0291902,2.9276,0.0
2,12.0,0.0,11.748,0.0280253,2.9495,0.0
2,13.0,30.0,14.918,0.0273143,3.0472,0.0
2,14.0,0.0,14.152,0.0261691,3.0048,0.0
2,15.0,30.0,12.931,0.0249719,2.9694,0.0
2,16.0,0.0,9.847,0.0241862,3.0351,0.0
2,17.0,30.0,8.8866,0.0237781,3.1904,0.0
2,18.0,0.0,7.6406,0.0233922,3.3265,0.0
2,19.0,30.0,7.547,0.0227424,3.3964,0.0
2,20.0,0.0,7.7013,0.0224215,3.5701,0.0
2,21.0,0.0,7.3795,0.0219043,3.6522,0.0
2,22.0,0.0,6.8833,0.0209722,3.6443,0.0
2,23.0,0.0,5.8577,0.0202268,3.6492,0.5
2,24.0,0.0,6.7857,0.0173079,7.3782,6.6
2,25.0,0.0,1.6685,0.0118684,9.3026,0.0
2,26.0,0.0,1.2583,0.00822532,9.8282,0.0
2,27.0,30.0,7.4167,0.00409255,10.128,0.0
2,28.0,0.0,6.6294,0.0651026,3.7293,0.0
2,29.0,0.0,6.6819,0.0280169,8.538,0.0
2,30.0,0.0,1.3683,0.0172338,7.776,0.0
2,31.0,30.0,6.4232,0.00469544,8.7528,0.0
